# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Convert REST	Http	GET	/sapi/v1/convert/exchangeInfo	listAllConvertPairs	Public	Read	documented_active	provider_typed
Convert REST	Http	GET	/sapi/v1/convert/assetInfo	queryOrderQuantityPrecisionPerAsset	USER_DATA	Read	documented_active	provider_typed
Convert REST	Http	POST	/sapi/v1/convert/acceptQuote	acceptQuote	TRADE	FinancialWrite	documented_active	provider_typed
Convert REST	Http	POST	/sapi/v1/convert/limit/cancelOrder	cancelLimitOrder	TRADE	FinancialWrite	documented_active	provider_typed
Convert REST	Http	GET	/sapi/v1/convert/tradeFlow	getConvertTradeHistory	USER_DATA	Read	documented_active	provider_typed
Convert REST	Http	GET	/sapi/v1/convert/orderStatus	orderStatus	USER_DATA	Read	documented_active	provider_typed
Convert REST	Http	POST	/sapi/v1/convert/limit/placeOrder	placeLimitOrder	TRADE	FinancialWrite	documented_active	provider_typed
Convert REST	Http	GET	/sapi/v1/convert/limit/queryOpenOrders	queryLimitOpenOrders	USER_DATA	Read	documented_active	provider_typed
Convert REST	Http	POST	/sapi/v1/convert/getQuote	sendQuoteRequest	TRADE	FinancialWrite	documented_active	provider_typed
Copy Trading REST	Http	GET	/sapi/v1/copyTrading/futures/userStatus	getFuturesLeadTraderStatus	TRADE	FinancialWrite	documented_active	platform_limited
Copy Trading REST	Http	GET	/sapi/v1/copyTrading/futures/leadSymbol	getFuturesLeadTradingSymbolWhitelist	USER_DATA	Read	documented_active	platform_limited
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/repay/rate	checkCollateralRepayRate	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	POST	/sapi/v2/loan/flexible/adjust/ltv	flexibleLoanAdjustLtv	TRADE	FinancialWrite	documented_active	provider_typed
Crypto Loan REST	Http	POST	/sapi/v2/loan/flexible/borrow	flexibleLoanBorrow	TRADE	FinancialWrite	documented_active	provider_typed
Crypto Loan REST	Http	POST	/sapi/v2/loan/flexible/repay	flexibleLoanRepay	TRADE	FinancialWrite	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/loanable/data	getFlexibleLoanAssetsData	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/borrow/history	getFlexibleLoanBorrowHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/collateral/data	getFlexibleLoanCollateralAssetsData	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/interestRateHistory	getFlexibleLoanInterestRateHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/liquidation/history	getFlexibleLoanLiquidationHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/ltv/adjustment/history	getFlexibleLoanLtvAdjustmentHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/ongoing/orders	getFlexibleLoanOngoingOrders	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v2/loan/flexible/repay/history	getFlexibleLoanRepaymentHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v1/loan/income	getCryptoLoansIncomeHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v1/loan/borrow/history	getLoanBorrowHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v1/loan/ltv/adjustment/history	getLoanLtvAdjustmentHistory	USER_DATA	Read	documented_active	provider_typed
Crypto Loan REST	Http	GET	/sapi/v1/loan/repay/history	getLoanRepaymentHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/account	accountInformation	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/balance	futuresAccountBalance	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/positionSide/dual	getCurrentPositionMode	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/order/asyn	getDownloadIdForFuturesOrderHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/trade/asyn	getDownloadIdForFuturesTradeHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/income/asyn	getDownloadIdForFuturesTransactionHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/order/asyn/id	getFuturesOrderHistoryDownloadLinkById	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/trade/asyn/id	getFuturesTradeDownloadLinkById	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/income/asyn/id	getFuturesTransactionHistoryDownloadLinkById	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/income	getIncomeHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/leverageBracket	notionalBracketForPair	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v2/leverageBracket	notionalBracketForSymbol	USER_DATA	Read	documented_active	provider_typed
